,digest_id,round,dest_loc,dest_well,water_loc,water_well,tip_loc,quant,source_well,source_plate,uL_in,water,DNA,pool,source_loc
78,D4558,1,P9,F10,P11,A1,P8,3.749,C9,D4492-D4587,13.3,8.9,50,pool_50_2,P7
79,D4557,1,P9,G10,P11,A1,P8,2.306,B9,D4492-D4587,21.7,0.5,50,pool_50_2,P7
80,D4556,1,P9,H10,P11,A1,P8,3.634,A9,D4492-D4587,13.8,8.4,50,pool_50_2,P7
81,D4555,1,P9,A11,P11,A1,P8,5.28,H8,D4492-D4587,9.5,12.7,50,pool_50_2,P7
82,D4554,1,P9,B11,P11,A1,P8,7.039,G8,D4492-D4587,7.1,15.1,50,pool_50_2,P7
83,D4553,1,P9,C11,P11,A1,P8,9.926,F8,D4492-D4587,5,17.2,50,pool_50_2,P7
84,D4551,1,P9,D11,P11,A1,P8,9.347,D8,D4492-D4587,5.3,16.9,50,pool_50_2,P7
85,D4550,1,P9,E11,P11,A1,P8,2.415,C8,D4492-D4587,20.7,1.5,50,pool_50_2,P7
86,D4549,1,P9,F11,P11,A1,P8,2.75,B8,D4492-D4587,18.2,4,50,pool_50_2,P7
87,D4548,1,P9,G11,P11,A1,P8,4.65,A8,D4492-D4587,10.8,11.4,50,pool_50_2,P7
88,D4547,1,P9,H11,P11,A1,P8,5.758,H7,D4492-D4587,8.7,13.5,50,pool_50_2,P7
89,D4546,1,P9,A12,P11,A1,P8,8.47,G7,D4492-D4587,5.9,16.3,50,pool_50_2,P7
90,D4545,1,P9,B12,P11,A1,P8,10.345,F7,D4492-D4587,4.8,17.4,50,pool_50_2,P7
91,D4544,1,P9,C12,P11,A1,P8,2.91,E7,D4492-D4587,17.2,5,50,pool_50_2,P7
92,D4543,1,P9,D12,P11,A1,P8,4.358,D7,D4492-D4587,11.5,10.7,50,pool_50_2,P7
93,D4542,1,P9,E12,P11,A1,P8,27.303,C7,D4492-D4587,1.8,20.4,50,pool_50_2,P7
94,D4541,1,P9,F12,P11,A1,P8,15.987,B7,D4492-D4587,3.1,19.1,50,pool_50_2,P7
95,D4540,1,P9,G12,P11,A1,P8,6.47,A7,D4492-D4587,7.7,14.5,50,pool_50_2,P7
96,D4598,1,P9,H12,P11,A1,P8,71.219,B2,D4588-D4613,0.7,21.5,50,pool_50_2,P6
